tier,customer_count,total_revenue,total_cost,total_profit,avg_margin,avg_monthly_profit,customer_pct,revenue_pct,profit_pct
Loss-Making,111,13857.46,21001.85834,-7144.39834,-45.172919238104875,-29.033685497876704,4.44,0.13352886814727735,-0.1017406519673491
Low Profit,93,30286.66,26485.478473333333,3801.1815266666667,11.241844383548312,10.152208353534165,3.7199999999999998,0.2918387229522163,0.054131176393687766
Medium Profit,451,243077.59,142345.10144333335,100732.48855666666,39.054312304900165,61.822397416675635,18.04,2.342267303291364,1.4344929513055118
High Profit,1845,10090654.02,3165876.4372466668,6924777.582753333,63.009513614412306,283.0960272893184,73.8,97.23236510560913,98.61311652426814
