stage,customer_count,total_revenue,avg_revenue,avg_ltv,avg_tenure_days
At Risk,6,22672.04,3778.6733333333336,3778.6733333333336,605.1666666666666
Churned/Dormant,209,947714.51,4534.519186602871,4534.519186602871,890.4736842105264
Declining,23,56387.03,2451.61,2451.61,276.4782608695652
Early Churn Risk,6,19117.73,3186.2883333333334,3186.2883333333334,145.16666666666666
Established (6-12 months),434,1439418.79,3316.6331566820277,3316.6331566820277,265.6589861751152
Growing (3-6 months),363,564267.9400000001,1554.457134986226,1554.457134986226,131.47382920110192
Mature (12+ months),825,7385060.11,8951.588012121212,8951.588012121212,783.8484848484849
New (0-3 months),634,456909.58,720.677570977918,720.677570977918,40.82334384858044
