segment,customer_count,avg_recency,avg_frequency,total_revenue,avg_revenue,avg_rfm_score
Champions,285,8.396491228070175,25.150877192982456,3024526.66,10612.374245614035,13.69122807017544
Loyal Customers,324,8.203703703703704,12.475308641975309,658582.57,2032.6622530864197,10.92283950617284
Potential Loyalists,396,15.414141414141413,13.29040404040404,2157680.33,5448.687702020202,10.38888888888889
At Risk,610,157.83934426229507,17.16393442622951,3941955.68,6462.2224262295085,9.104918032786886
Promising,46,18.652173913043477,11.217391304347826,29669.77,644.995,8.478260869565217
New Customers,315,7.2,2.358730158730159,91219.88,289.58692063492066,7.317460317460317
Need Attention,5,18.4,7.0,1257.21,251.442,7.0
About to Sleep,118,19.305084745762713,2.406779661016949,34924.58,295.97101694915256,5.737288135593221
Hibernating,382,137.2931937172775,2.8141361256544504,438059.05,1146.751439790576,5.198952879581152
